,,,,GOOGLE ANALYTIC,,,,,,Traffic Apps (UV),,Source Traffic,,,,,
No,Portal,Year,Month,Post,Total Visits,Unique Visitors,Page Views,Session Duration,Bounce Rate,Android,IOS,Direct,Organic Search,Organic Social,Referral,Unassigned,Discover
59,Okezone.com,2025,November,"6,539","10,751,468","6,939,035","16,107,005",,,"2,417",712,,,,,,
60,Okezone.com,2025,December,"6,152","9,805,921","6,184,539","14,149,225",,,"2,220",676,,,,,,
61,Okezone.com,2026,January,"6,049","9,692,103","6,048,237","14,482,332",12:01:24 AM,57%,"2,322",664,"2,953,905","2,415,867","109,697","126,939","312,578","1,455,699"
62,Okezone.com,2026,February,"5,584","7,829,769","5,319,090","10,951,448",12:01:18 AM,61%,"2,075",632,"2,696,091","1,960,762","140,064","87,684","335,258","1,034,664"
63,Okezone.com,2026,March,"5,728","6,753,040","4,146,370","9,455,305",12:01:25 AM,62%,"2,342",682,"2,256,365","1,445,002","81,921","88,903","233,674","881,517"
64,Okezone.com,2026,April,"5,983","8,848,711","5,549,582","13,424,954",12:01:30 AM,59%,"2,247",625,"2,996,511","2,109,850","112,239","113,032","265,712","1,483,522"
65,Okezone.com,2026,May,"6,220","9,858,555","6,724,181","13,112,953",12:01:19 AM,72%,2131,607,"4,162,973","2,091,720","62,907","99,071","271,975","902,874"
66,Okezone.com,2026,June,,,,,,,,,,,,,,
67,Okezone.com,2026,July,,,,,,,,,,,,,,
68,Okezone.com,2026,August,,,,,,,,,,,,,,
69,Okezone.com,2026,September,,,,,,,,,,,,,,
70,Okezone.com,2026,October,,,,,,,,,,,,,,
71,Okezone.com,2026,November,,,,,,,,,,,,,,
72,Okezone.com,2026,December,,,,,,,,,,,,,,
73,IDXChannel.com,2025,January,"3,954","2,157,795","1,734,915","2,641,270",,,"8,782","3,193",,,,,,
74,IDXChannel.com,2025,February,"3,830","1,529,984","1,170,117","1,878,523",,,"8,274","3,233",,,,,,
75,IDXChannel.com,2025,March,"3,807","1,289,998","974,054","1,639,687",,,"8,440","3,356",,,,,,
76,IDXChannel.com,2025,April,"3,147","1,361,507","1,012,748","1,742,773",,,"8,563","3,598",,,,,,
77,IDXChannel.com,2025,May,"3,201","1,693,838","1,060,052","2,891,535",,,"9,092","3,689",,,,,,
78,IDXChannel.com,2025,June,"3,323","1,390,592","999,682","2,837,813",,,"8,649","3,645",,,,,,
79,IDXChannel.com,2025,July,"3,256","2,023,556","1,174,784","5,176,017",,,"9,471","4,370",,,,,,
80,IDXChannel.com,2025,August,"2,929","3,226,526","2,003,893","8,523,524",,,"10,006","4,725",,,,,,
81,IDXChannel.com,2025,September,"2,644","1,737,203","1,091,840","3,013,856",,,"11,549","5,850",,,,,,
82,IDXChannel.com,2025,October,"2,802","2,053,245","1,242,765","3,333,148",,,"14,123","7,318",,,,,,
83,IDXChannel.com,2025,November,"2,685","1,653,114","992,818","2,666,227",,,"13,790","7,097",,,,,,
84,IDXChannel.com,2025,December,"3,188","1,599,772","947,121","2,604,858",,,"15,162","8,433",,,,,,
85,IDXChannel.com,2026,January,"2,958","1,899,388","1,102,933","3,037,525",12:03:29 AM,44%,"20,149","12,036","463,143","526,989","19,578","41,602","56,190","116,912"
86,IDXChannel.com,2026,February,"2,607","1,406,840","908,512","2,101,203",12:03:22 AM,49%,"17,748","11,061","410,279","388,939","18,304","29,418","49,026","88,094"
87,IDXChannel.com,2026,March,"2,752","1,315,053","963,922","1,827,202",12:02:33 AM,55%,"15,905","9,405","494,132","348,774","28,247","23,321","56,273","125,216"
88,IDXChannel.com,2026,April,"2,777","1,574,153","1,162,126","2,264,521",12:02:29 AM,53%,"15,622","8,837","616,110","433,812","37,383","28,262","44,625","171,585"
89,IDXChannel.com,2026,May,"2,751","1,846,992","1,405,852","2,566,786",12:02:12 AM,59%,"15,284","8,652","863,697","438,751","22,326","37,949","44,915","134,845"
90,IDXChannel.com,2026,June,,,,,,,,,,,,,,
91,IDXChannel.com,2026,July,,,,,,,,,,,,,,
92,IDXChannel.com,2026,August,,,,,,,,,,,,,,
93,IDXChannel.com,2026,September,,,,,,,,,,,,,,
94,IDXChannel.com,2026,October,,,,,,,,,,,,,,
95,IDXChannel.com,2026,November,,,,,,,,,,,,,,
96,IDXChannel.com,2026,December,,,,,,,,,,,,,,
